algorithm,objective,dims,seeds,mean_win,win_std,win_min,win_max
exact_solver,MaxInformation,2x2x2,30,0.7333333333333333,0.44977644510880355,0.0,1.0
exact_solver,MinDistance,2x2x2,30,0.4666666666666667,0.5074162634049248,0.0,1.0
exact_solver,MinRotation,2x2x2,30,0.36666666666666664,0.490132517853561,0.0,1.0
global_sat,MaxInformation,2x2x2,30,0.6666666666666666,0.4794633014853841,0.0,1.0
global_sat,MinDistance,2x2x2,30,0.6666666666666666,0.4794633014853841,0.0,1.0
global_sat,MinRotation,2x2x2,30,0.6666666666666666,0.4794633014853841,0.0,1.0
greedy,MaxInformation,2x2x2,30,0.16666666666666666,0.3790490217894516,0.0,1.0
greedy,MinDistance,2x2x2,30,0.16666666666666666,0.3790490217894516,0.0,1.0
greedy,MinRotation,2x2x2,30,0.16666666666666666,0.3790490217894516,0.0,1.0
partitioned_sat,MaxInformation,2x2x2,30,0.6666666666666666,0.4794633014853841,0.0,1.0
partitioned_sat,MinDistance,2x2x2,30,0.6666666666666666,0.4794633014853841,0.0,1.0
partitioned_sat,MinRotation,2x2x2,30,0.6666666666666666,0.4794633014853841,0.0,1.0
scip_solver,MaxInformation,2x2x2,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MinDistance,2x2x2,30,0.7333333333333333,0.4497764451088036,0.0,1.0
scip_solver,MinRotation,2x2x2,30,0.7,0.466091599699399,0.0,1.0
exact_solver,MaxInformation,3x3x3,30,0.5333333333333333,0.507416263404925,0.0,1.0
exact_solver,MinDistance,3x3x3,30,0.36666666666666664,0.49013251785356104,0.0,1.0
exact_solver,MinRotation,3x3x3,30,0.3,0.466091599699399,0.0,1.0
global_sat,MaxInformation,3x3x3,30,1.0,0.0,1.0,1.0
global_sat,MinDistance,3x3x3,30,1.0,0.0,1.0,1.0
global_sat,MinRotation,3x3x3,30,1.0,0.0,1.0,1.0
greedy,MaxInformation,3x3x3,30,0.03333333333333333,0.18257418583505533,0.0,1.0
greedy,MinDistance,3x3x3,30,0.0,0.0,0.0,0.0
greedy,MinRotation,3x3x3,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,3x3x3,30,1.0,0.0,1.0,1.0
partitioned_sat,MinDistance,3x3x3,30,1.0,0.0,1.0,1.0
partitioned_sat,MinRotation,3x3x3,30,1.0,0.0,1.0,1.0
scip_solver,MaxInformation,3x3x3,30,1.0,0.0,1.0,1.0
scip_solver,MinDistance,3x3x3,30,0.9666666666666667,0.18257418583505536,0.0,1.0
scip_solver,MinRotation,3x3x3,30,1.0,0.0,1.0,1.0
exact_solver,MaxInformation,4x4x4,30,0.13333333333333333,0.3457459036417604,0.0,1.0
exact_solver,MinDistance,4x4x4,30,0.1,0.30512857662936466,0.0,1.0
exact_solver,MinRotation,4x4x4,30,0.03333333333333333,0.18257418583505536,0.0,1.0
global_sat,MaxInformation,4x4x4,30,0.9333333333333333,0.2537081317024624,0.0,1.0
global_sat,MinDistance,4x4x4,30,0.9333333333333333,0.2537081317024624,0.0,1.0
global_sat,MinRotation,4x4x4,30,0.9333333333333333,0.2537081317024624,0.0,1.0
greedy,MaxInformation,4x4x4,30,0.0,0.0,0.0,0.0
greedy,MinDistance,4x4x4,30,0.0,0.0,0.0,0.0
greedy,MinRotation,4x4x4,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,4x4x4,30,0.9333333333333333,0.2537081317024624,0.0,1.0
partitioned_sat,MinDistance,4x4x4,30,0.9333333333333333,0.2537081317024624,0.0,1.0
partitioned_sat,MinRotation,4x4x4,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MaxInformation,4x4x4,30,0.9666666666666667,0.18257418583505536,0.0,1.0
scip_solver,MinDistance,4x4x4,30,0.9,0.3051285766293647,0.0,1.0
scip_solver,MinRotation,4x4x4,30,0.9,0.30512857662936466,0.0,1.0
exact_solver,MaxInformation,5x5x5,30,0.0,0.0,0.0,0.0
exact_solver,MinDistance,5x5x5,30,0.0,0.0,0.0,0.0
exact_solver,MinRotation,5x5x5,30,0.0,0.0,0.0,0.0
global_sat,MaxInformation,5x5x5,30,0.7333333333333333,0.44977644510880366,0.0,1.0
global_sat,MinDistance,5x5x5,30,0.7333333333333333,0.44977644510880366,0.0,1.0
global_sat,MinRotation,5x5x5,30,0.7333333333333333,0.44977644510880366,0.0,1.0
greedy,MaxInformation,5x5x5,30,0.0,0.0,0.0,0.0
greedy,MinDistance,5x5x5,30,0.0,0.0,0.0,0.0
greedy,MinRotation,5x5x5,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,5x5x5,30,0.7333333333333333,0.44977644510880366,0.0,1.0
partitioned_sat,MinDistance,5x5x5,30,0.7333333333333333,0.44977644510880366,0.0,1.0
partitioned_sat,MinRotation,5x5x5,30,0.7333333333333333,0.44977644510880366,0.0,1.0
scip_solver,MaxInformation,5x5x5,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MinDistance,5x5x5,30,0.8333333333333334,0.3790490217894517,0.0,1.0
scip_solver,MinRotation,5x5x5,30,0.7666666666666667,0.4301830671520763,0.0,1.0
exact_solver,MaxInformation,6x6x6,30,0.0,0.0,0.0,0.0
exact_solver,MinDistance,6x6x6,30,0.0,0.0,0.0,0.0
exact_solver,MinRotation,6x6x6,30,0.0,0.0,0.0,0.0
global_sat,MaxInformation,6x6x6,30,0.8,0.40683810217248617,0.0,1.0
global_sat,MinDistance,6x6x6,30,0.8,0.40683810217248617,0.0,1.0
global_sat,MinRotation,6x6x6,30,0.8,0.40683810217248617,0.0,1.0
greedy,MaxInformation,6x6x6,30,0.0,0.0,0.0,0.0
greedy,MinDistance,6x6x6,30,0.0,0.0,0.0,0.0
greedy,MinRotation,6x6x6,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,6x6x6,30,0.8,0.40683810217248617,0.0,1.0
partitioned_sat,MinDistance,6x6x6,30,0.8,0.40683810217248617,0.0,1.0
partitioned_sat,MinRotation,6x6x6,30,0.8,0.40683810217248617,0.0,1.0
scip_solver,MaxInformation,6x6x6,30,0.9666666666666667,0.18257418583505536,0.0,1.0
scip_solver,MinDistance,6x6x6,30,0.8333333333333334,0.3790490217894517,0.0,1.0
scip_solver,MinRotation,6x6x6,30,0.8666666666666667,0.3457459036417604,0.0,1.0
exact_solver,MaxInformation,7x7x7,30,0.0,0.0,0.0,0.0
exact_solver,MinDistance,7x7x7,30,0.0,0.0,0.0,0.0
exact_solver,MinRotation,7x7x7,30,0.0,0.0,0.0,0.0
global_sat,MaxInformation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
global_sat,MinDistance,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
global_sat,MinRotation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
greedy,MaxInformation,7x7x7,30,0.0,0.0,0.0,0.0
greedy,MinDistance,7x7x7,30,0.0,0.0,0.0,0.0
greedy,MinRotation,7x7x7,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
partitioned_sat,MinDistance,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
partitioned_sat,MinRotation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
scip_solver,MaxInformation,7x7x7,30,0.9,0.3051285766293647,0.0,1.0
scip_solver,MinDistance,7x7x7,30,0.8666666666666667,0.3457459036417604,0.0,1.0
scip_solver,MinRotation,7x7x7,30,0.9,0.30512857662936466,0.0,1.0
exact_solver,MaxInformation,8x8x8,30,0.0,0.0,0.0,0.0
exact_solver,MinDistance,8x8x8,30,0.0,0.0,0.0,0.0
exact_solver,MinRotation,8x8x8,30,0.0,0.0,0.0,0.0
global_sat,MaxInformation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
global_sat,MinDistance,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
global_sat,MinRotation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
greedy,MaxInformation,8x8x8,30,0.0,0.0,0.0,0.0
greedy,MinDistance,8x8x8,30,0.0,0.0,0.0,0.0
greedy,MinRotation,8x8x8,30,0.0,0.0,0.0,0.0
partitioned_sat,MaxInformation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
partitioned_sat,MinDistance,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
partitioned_sat,MinRotation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MaxInformation,8x8x8,30,0.9666666666666667,0.18257418583505536,0.0,1.0
scip_solver,MinDistance,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
scip_solver,MinRotation,8x8x8,30,0.9333333333333333,0.2537081317024624,0.0,1.0
